trip_id,timestamp,coords,segment,%,bus_stop_number,expected_arrival_time,delay,accumulated_distance
115202411051510_101_115-03,2024-11-05 16:00:04,"[54.368350982666016, 18.63035011291504]",['54.368357618078_18.630147891695_54.36865259789_18.630977688188'],0.8507658687844607,STOP 31,"[0, -1.0666666666666667]",1.0666666666666667,[14.44261287]
262202411051520_12_262-34,2024-11-05 16:00:04,"[54.37704849243164, 18.608299255371094]",['54.373586162614_18.603115585039_54.377536372344_18.608737197863'],0.8812805921043454,,[-2.066666666666667],2.066666666666667,[11.49472231]
10202411051531_21_010-32,2024-11-05 16:00:02,"[54.34918975830078, 18.624780654907227]",['54.349863288307_18.629119773239_54.349122095511_18.624345740487'],0.6649006920368462,,[-0.03333333333333333],0.03333333333333333,[9.59109199]
7202411051557_71_007-38,2024-11-05 16:00:04,"[54.32896041870117, 18.59885025024414]",['54.326332432497_18.601620378966_54.331229009583_18.596505261971'],0.08377075055732888,STOP 3,"[0, 0.9333333333333333]",,[1.23011484]
127202411051548_41_127-06,2024-11-05 16:00:03,"[54.40663146972656, 18.61469078063965]",['54.406978115814_18.615098831309_54.40199112442_18.609764124686'],0.21378482716198782,STOP 8,"[0, 3.95]",,[3.40797938]
295202411051547_21_295-31,2024-11-05 16:00:04,"[54.31832885742188, 18.58173942565918]",['54.316736049724_18.583403636596_54.318417866091_18.581644244654'],0.8655783408557978,,[-6.066666666666666],6.066666666666666,[2.29591592]
106202411051443_211_106-03,2024-11-05 16:00:04,"[54.375858306884766, 18.684370040893555]",['54.377969435238_18.683477123854_54.375376107793_18.683253629068'],0.7458041258809398,,[-40.06666666666667],40.06666666666667,[12.71226002]
7202411051527_71_007-36,2024-11-05 16:00:03,"[54.37968826293945, 18.634660720825195]",['54.375797173534_18.630858736119_54.380634446111_18.635939467204'],0.7176732934758447,STOP 20,"[0, -0.05]",0.05,[10.53853002]
199202411051532_201_199-01,2024-11-05 16:00:04,"[54.38385009765625, 18.596080780029297]",['54.386927652696_18.591401539501_54.382865693931_18.597338105296'],0.4294995772562253,,[-2.066666666666667],2.066666666666667,[8.44383897]
155202411051538_11_155-01,2024-11-05 16:00:04,"[54.32283020019531, 18.55474090576172]",['54.322773232317_18.554659515325_54.324973231979_18.548776781989'],0.4879858918135709,,[-10.066666666666666],10.066666666666666,[4.96122409]
108202411051547_11_108-01,2024-11-05 16:00:04,"[54.347110748291016, 18.64514923095703]",['54.349592762178_18.645601602474_54.345287815759_18.645201506691'],0.2849289787889333,,[-7.066666666666666],7.066666666666666,[1.85288149]
166202411051607_51_166-34,2024-11-05 16:00:03,"[54.36203002929688, 18.64542961120605]",['54.36204865225_18.645396949201_54.361340171299_18.645945471304'],0,STOP 1,"[0, 7.95]",,[0.0030742]
199202411051538_12_199-06,2024-11-05 16:00:03,"[54.351829528808594, 18.64242935180664]",['54.352044567345_18.645938456443_54.35136201837_18.63723616019'],0.08046651841488693,,[-15.05],15.05,[1.54040729]
256202411051538_22_256-01,2024-11-05 16:00:04,"[54.30553817749024, 18.552249908447266]",['54.30362831547_18.54600292821_54.306058008503_18.554082912372'],0.15479699390440285,,[-20.066666666666666],20.066666666666666,[1.82597434]
200202411051543_31_200-36,2024-11-05 16:00:03,"[54.33105850219727, 18.63417053222656]",['54.332330162244_18.634466903774_54.330318032775_18.634090226244'],0.23419244520195512,,[-6.05],6.05,[3.62947957]
115202411051525_101_115-04,2024-11-05 16:00:04,"[54.3544807434082, 18.59572982788086]",['54.350873699521_18.596589555395_54.355027615466_18.595715953654'],0.5718402516778801,,[-4.066666666666666],4.066666666666666,[9.70756783]
3202411051551_22_003-23,2024-11-05 16:00:04,"[54.33884048461914, 18.61849975585937]",['54.338085316378_18.618105437121_54.343309514438_18.617249321316'],0.25109023318352724,STOP 8,"[0, 2.933333333333333]",,[3.68547895]
126202411051557_42_126-05,2024-11-05 16:00:04,"[54.34236907958984, 18.36091995239257]",['54.341234210029_18.35506120506_54.342287567147_18.362517942542'],0.02046714192106349,,[-2.066666666666667],2.066666666666667,[0.5263982]
154202411051532_21_154-05,2024-11-05 16:00:03,"[54.33026885986328, 18.62459945678711]",['54.330226730486_18.625327840664_54.32887824939_18.61666897149'],0.6521333367899544,,[-13.05],13.05,[4.53487313]
262202411051542_91_262-38,2024-11-05 16:00:04,"[54.36651992797852, 18.58978080749512]",['54.366987153679_18.590906414755_54.361987067416_18.589921484446'],0.2138430378137242,,[-5.066666666666666],5.066666666666666,[2.66232189]
269202411051538_12_269-02,2024-11-05 16:00:04,"[54.4145393371582, 18.44659996032715]",['54.418122733451_18.450018810443_54.413771116202_18.446173556905'],0.9188284378027263,STOP 13,"[0, 0.9333333333333333]",,[7.49529728]
12202411051600_311_012-03,2024-11-05 16:00:04,"[54.33158874511719, 18.5731201171875]",['54.331657384698_18.573898757934_54.334723737792_18.571256753353'],0.014891605570749375,,[-0.06666666666666667],0.06666666666666667,[0.34064716]
269202411051541_101_269-01,2024-11-05 16:00:04,"[54.434608459472656, 18.466590881347656]",['54.430831752315_18.462675575769_54.434673680813_18.466678947302'],0.8052638980810123,,[-3.066666666666667],3.066666666666667,[6.27375751]
3202411051541_22_003-32,2024-11-05 16:00:05,"[54.347938537597656, 18.64208984375]",['54.34805038835_18.641658043435_54.347662961771_18.644834832973'],0.4196528813924561,,[-4.083333333333333],4.083333333333333,[6.15962573]
5202411051528_32_005-04,2024-11-05 16:00:05,"[54.3826904296875, 18.598020553588867]",['54.381005307873_18.60052699809_54.385917351713_18.593031815519'],0.6959574758324999,STOP 22,"[0, 0.9166666666666666]",,[10.10601167]
149202411051436_41_149-02,2024-11-05 16:00:04,"[54.38080978393555, 18.60639953613281]",['54.380548306846_18.608300231268_54.381088485116_18.605619853074'],0,STOP 1,"[0, -84.06666666666666]",84.06666666666666,[18.73047195]
168202411051449_101_168-05,2024-11-05 16:00:04,"[54.33977890014648, 18.50082969665528]",['54.338836031542_18.507549659046_54.340387829708_18.499562680918'],0.9802599965905149,STOP 35,"[0, -17.066666666666666]",17.066666666666666,[17.70718048]
9202411051520_82_009-32,2024-11-05 16:00:05,"[54.37406921386719, 18.621320724487305]",['54.37261093133_18.623805359981_54.375626743373_18.616270479459'],0.7555268538131084,STOP 23,"[0, -2.0833333333333335]",2.0833333333333335,[11.65882421]
155202411051558_11_155-31,2024-11-05 16:00:04,"[54.32392883300781, 18.604930877685547]",['54.323815314347_18.605242659844_54.324088625999_18.604519313809'],0.03459788701798703,,[-2.066666666666667],2.066666666666667,[0.35174761]
212202411051554_22_212-06,2024-11-05 16:00:04,"[54.33039855957031, 18.933080673217773]",['54.328741757797_18.932797571775_54.334111068152_18.934004844814'],0.1090423361431866,STOP 7,"[0, 1.9333333333333333]",,[3.13029626]
118202411051559_11_118-02,2024-11-05 16:00:04,"[54.33145904541016, 18.57093048095703]",['54.331439447387_18.572450259666_54.331520606229_18.569784304406'],0.0553531636423814,,[-1.0666666666666667],1.0666666666666667,[0.21654594]
210202411051545_301_210-06,2024-11-05 16:00:05,"[54.35280990600586, 18.635019302368164]",['54.35129554702_18.637055299689_54.355227585769_18.631273360983'],0.08358749575964443,STOP 4,"[0, -4.083333333333333]",4.083333333333333,[2.14786432]
10202411051541_52_010-06,2024-11-05 16:00:05,"[54.351749420166016, 18.64137077331543]",['54.350634045242_18.632661119287_54.351740810422_18.641892921038'],0.42848999526385473,,[-2.0833333333333335],2.0833333333333335,[6.12422683]
162202411051552_71_162-04,2024-11-05 16:00:05,"[54.37685012817383, 18.6069393157959]",['54.378032622_18.607014366675_54.3739215207_18.6041585203'],0.08539219327273948,,[-2.0833333333333335],2.0833333333333335,[0.91165218]
